Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"I10_1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
10,28000;0,61634;7811,88279;1,26847;0,00087;97,64853;0,08740;0,02871;0,04836;-0,00496
10,38000;0,62229;7865,06474;1,26833;0,00090;98,31331;0,09004;0,02958;0,03828;-0,00392
10,48000;0,62839;7914,65521;1,26840;0,00090;98,93319;0,09001;0,02957;0,04513;-0,00463
10,58000;0,63423;7963,27561;1,26833;0,00095;99,54095;0,09488;0,03117;0,04213;-0,00432
10,68000;0,64055;8018,11874;1,26812;0,00100;100,22648;0,09981;0,03279;0,03853;-0,00395
10,78000;0,64634;8064,61304;1,26833;0,00101;100,80766;0,10051;0,03302;0,03204;-0,00328
10,88000;0,65234;8118,33143;1,26854;0,00104;101,47914;0,10418;0,03422;0,03885;-0,00398
10,98000;0,65839;8165,90488;1,26829;0,00105;102,07381;0,10492;0,03446;0,03703;-0,00380
11,08000;0,66423;8213,29504;1,26847;0,00105;102,66619;0,10542;0,03463;0,03276;-0,00336
11,18000;0,67050;8263,54980;1,26843;0,00108;103,29437;0,10767;0,03537;0,03091;-0,00317
11,28000;0,67634;8309,16166;1,26824;0,00114;103,86452;0,11390;0,03741;0,03384;-0,00347
11,38000;0,68239;8361,62478;1,26856;0,00117;104,52031;0,11656;0,03829;0,04425;-0,00454
11,48000;0,68839;8407,41813;1,26856;0,00113;105,09273;0,11301;0,03712;0,04822;-0,00494
11,58000;0,69423;8455,03807;1,26864;0,00116;105,68798;0,11631;0,03821;0,04667;-0,00479
11,68000;0,70045;8502,58648;1,26892;0,00117;106,28233;0,11748;0,03859;0,05305;-0,00544
11,78000;0,70629;8545,96138;1,26888;0,00118;106,82452;0,11786;0,03872;0,05736;-0,00588
11,88000;0,71245;8597,11915;1,26886;0,00114;107,46399;0,11381;0,03738;0,04988;-0,00511
11,98000;0,71834;8640,90264;1,26929;0,00115;108,01128;0,11465;0,03766;0,05417;-0,00555
12,08000;0,72423;8689,85206;1,26889;0,00108;108,62315;0,10796;0,03546;0,05282;-0,00542
12,18000;0,73045;8736,92930;1,26913;0,00110;109,21162;0,11032;0,03624;0,05288;-0,00542
12,28000;0,73623;8780,71815;1,26916;0,00116;109,75898;0,11603;0,03811;0,06318;-0,00648
12,38000;0,74250;8832,05563;1,26903;0,00114;110,40070;0,11407;0,03747;0,06849;-0,00702
12,48000;0,74839;8875,42605;1,26914;0,00117;110,94283;0,11660;0,03830;0,07396;-0,00758
12,58000;0,75429;8925,78095;1,26904;0,00119;111,57226;0,11869;0,03899;0,07557;-0,00775
12,68000;0,76034;8971,02535;1,26908;0,00123;112,13782;0,12292;0,04038;0,07045;-0,00722
12,78000;0,76623;9017,43829;1,26928;0,00124;112,71798;0,12408;0,04076;0,07803;-0,00800
12,88000;0,77255;9067,32738;1,26926;0,00122;113,34159;0,12242;0,04021;0,07861;-0,00806
12,98000;0,77834;9111,94146;1,26889;0,00127;113,89927;0,12653;0,04156;0,07737;-0,00793
13,08000;0,78439;9164,16228;1,26906;0,00124;114,55203;0,12438;0,04086;0,08121;-0,00833
13,18000;0,79045;9208,51082;1,26900;0,00126;115,10639;0,12574;0,04130;0,08403;-0,00861
13,28000;0,79623;9255,86969;1,26919;0,00125;115,69837;0,12548;0,04122;0,09575;-0,00982
13,38000;0,80245;9304,61168;1,26903;0,00124;116,30765;0,12356;0,04059;0,09087;-0,00932
13,48000;0,80829;9348,59008;1,26928;0,00122;116,85738;0,12219;0,04014;0,08639;-0,00886
13,58000;0,81445;9400,40052;1,26895;0,00123;117,50501;0,12329;0,04050;0,05739;-0,00588
13,68000;0,82039;9445,50365;1,26893;0,00119;118,06880;0,11886;0,03904;0,05858;-0,00601
13,78000;0,82629;9494,87418;1,26911;0,00117;118,68593;0,11713;0,03847;0,04655;-0,00477
13,88000;0,83245;9541,58843;1,26910;0,00119;119,26986;0,11906;0,03911;0,04700;-0,00482
13,98000;0,83823;9587,04293;1,26908;0,00119;119,83804;0,11949;0,03925;0,04528;-0,00464
14,08000;0,84455;9638,04066;1,26898;0,00118;120,47551;0,11824;0,03884;0,04475;-0,00459
14,18000;0,85034;9683,11965;1,26899;0,00117;121,03900;0,11672;0,03834;0,04110;-0,00421
14,28000;0,85629;9735,11517;1,26908;0,00117;121,68894;0,11661;0,03830;0,04077;-0,00418
14,38000;0,86239;9781,28850;1,26910;0,00119;122,26611;0,11879;0,03902;0,03458;-0,00355
14,48000;0,86818;9828,93080;1,26911;0,00118;122,86163;0,11832;0,03887;0,01971;-0,00202
14,58000;0,87450;9879,34917;1,26928;0,00116;123,49186;0,11644;0,03825;0,02234;-0,00229
14,68000;0,88034;9925,10140;1,26917;0,00120;124,06377;0,11976;0,03934;0,01758;-0,00180
14,78000;0,88645;9977,83810;1,26921;0,00116;124,72298;0,11627;0,03819;0,01016;-0,00104
14,88000;0,89239;10024,77318;1,26922;0,00120;125,30966;0,11950;0,03925;0,00469;-0,00048
14,98000;0,89823;10073,99887;1,26932;0,00119;125,92499;0,11906;0,03911;0,00675;-0,00069
15,08000;0,90445;10122,97958;1,26946;0,00118;126,53724;0,11812;0,03880;0,00055;-0,00006
15,18000;0,91029;10169,40325;1,26954;0,00122;127,11754;0,12201;0,04008;0,01260;-0,00129
15,28000;0,91650;10221,88783;1,26933;0,00120;127,77360;0,12018;0,03948;0,03014;-0,00309
15,38000;0,92239;10267,74734;1,26976;0,00121;128,34684;0,12141;0,03988;0,02765;-0,00283
15,48000;0,92823;10319,29493;1,26955;0,00125;128,99119;0,12544;0,04120;0,03373;-0,00346
