Prüflosbezeichnung;Redux 312_quer+längs_alte Proben;;;;;;;;
Proben-Nr;5;;;;Bmerkung;;;;
Prüfer;JuBr;;;;Falsche Probenbreite und Probendicke vorgegeben;;;;
Werkstoff;6082;;;;Spannungswerte daher nicht korrekt;;;;
Prüfnorm;DIN EN ISO 527                                                   ;;;;über Kraft/Fläche neu brechenen;;;;
Prüfgeschwindigkeit;3,6;mm/min;;;breite;16 mm;;;
Prüfklima;23 °C / 50 % rF;;;;dicke ;5 mm;;;
Bemerkungen;;;;;;;;;
;;;;;;;;;
Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
10,528;0,63118;7117,85361;1,26853;0,00032;88,97317013;0,03152;0,01045;-0,04382;0,00437
10,628;0,63712;7167,96175;1,26861;0,00033;89,59952188;0,03288;0,01089;-0,03925;0,00391
10,728;0,64318;7214,37514;1,26846;0,00036;90,17968925;0,03574;0,01184;-0,04413;0,0044
10,828;0,64907;7259,53281;1,26867;0,00037;90,74416013;0,03691;0,01223;-0,04053;0,00404
10,928;0,65534;7309,10137;1,26846;0,00034;91,36376713;0,03448;0,01142;-0,04224;0,00421
11,028;0,66112;7354,08962;1,26866;0,00035;91,92612025;0,03478;0,01152;-0,04513;0,0045
11,128;0,66712;7404,08733;1,26839;0,00037;92,55109163;0,0365;0,0121;-0,02288;0,00228
11,228;0,67323;7448,75148;1,26862;0,00039;93,1093935;0,03934;0,01303;0,02175;-0,00217
11,328;0,67902;7494,44515;1,26866;0,0004;93,68056438;0,04031;0,01336;0,00802;-0,0008
11,428;0,68534;7542,40215;1,26861;0,0004;94,28002688;0,04023;0,01333;0,01858;-0,00185
11,528;0,69118;7586,32421;1,26872;0,00042;94,82905263;0,04159;0,01378;0,05248;-0,00523
11,628;0,69723;7636,0023;1,26872;0,00041;95,45002875;0,04101;0,01359;0,06461;-0,00644
11,728;0,70318;7680,6879;1,26876;0,00044;96,00859875;0,04363;0,01446;0,09087;-0,00906
11,828;0,70907;7727,68646;1,26874;0,00046;96,59608075;0,04554;0,01509;0,0863;-0,0086
11,928;0,71523;7774,37121;1,26892;0,00046;97,17964013;0,04584;0,01519;0,09276;-0,00925
12,028;0,72112;7818,75104;1,26903;0,00046;97,734388;0,04574;0,01516;0,08187;-0,00816
12,128;0,72734;7868,62403;1,2691;0,00047;98,35780038;0,04747;0,01573;0,07851;-0,00783
12,228;0,73318;7912,47904;1,26907;0,00047;98,905988;0,04734;0,01569;0,0858;-0,00855
12,328;0,73907;7961,66092;1,26905;0,0005;99,5207615;0,05013;0,01661;0,07892;-0,00787
12,428;0,74523;8007,97015;1,2693;0,00051;100,0996269;0,05113;0,01694;0,06642;-0,00662
12,528;0,75107;8053,1162;1,26919;0,00055;100,6639525;0,05543;0,01837;0,07585;-0,00756
12,628;0,75734;8102,89711;1,26942;0,00055;101,2862139;0,05501;0,01823;0,07786;-0,00776
12,728;0,76318;8147,2984;1,26929;0,00059;101,84123;0,05872;0,01946;0,0876;-0,00873
12,828;0,76912;8196,95503;1,26939;0,00057;102,4619379;0,05658;0,01875;0,08301;-0,00827
12,928;0,77518;8241,63616;1,26938;0,0006;103,020452;0,05993;0,01986;0,07665;-0,00764
13,028;0,78102;8287,10139;1,2696;0,00059;103,5887674;0,05874;0,01946;0,09072;-0,00904
13,128;0,78729;8334,7401;1,26933;0,00061;104,1842513;0,06088;0,02017;0,07787;-0,00776
13,228;0,79312;8380,23752;1,26956;0,00059;104,752969;0,05944;0,0197;0,09607;-0,00958
13,328;0,79923;8431,23883;1,26934;0,00059;105,3904854;0,05945;0,0197;0,07609;-0,00758
13,428;0,80518;8475,86632;1,26947;0,0006;105,948329;0,05992;0,01986;0,08912;-0,00888
13,528;0,81102;8523,44871;1,26941;0,00061;106,5431089;0,06054;0,02006;0,07641;-0,00762
