Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"4"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
11,93200;0,71561;7408,96046;1,28439;0,00089;92,61201;0,08930;0,03063;0,08634;-0,00870
12,03200;0,72166;7457,96800;1,28417;0,00090;93,22460;0,08983;0,03081;0,10119;-0,01020
12,13200;0,72766;7501,01477;1,28435;0,00091;93,76268;0,09058;0,03107;0,09611;-0,00969
12,23200;0,73350;7547,15770;1,28449;0,00092;94,33947;0,09228;0,03165;0,09814;-0,00989
12,33200;0,73977;7592,95821;1,28466;0,00091;94,91198;0,09107;0,03124;0,10310;-0,01039
12,43200;0,74561;7636,13820;1,28474;0,00093;95,45173;0,09311;0,03193;0,10208;-0,01029
12,53200;0,75177;7685,80556;1,28480;0,00095;96,07257;0,09543;0,03273;0,10497;-0,01058
12,63200;0,75766;7728,80763;1,28472;0,00093;96,61010;0,09339;0,03203;0,11759;-0,01185
12,73200;0,76355;7776,10391;1,28469;0,00092;97,20130;0,09173;0,03146;0,11315;-0,01140
12,83200;0,76961;7821,89548;1,28478;0,00092;97,77369;0,09241;0,03170;0,11621;-0,01171
12,93200;0,77555;7866,00173;1,28448;0,00093;98,32502;0,09286;0,03185;0,11125;-0,01121
13,03200;0,78182;7915,19612;1,28477;0,00093;98,93995;0,09274;0,03181;0,11798;-0,01189
13,13200;0,78766;7959,40608;1,28470;0,00093;99,49258;0,09311;0,03194;0,12702;-0,01280
13,23200;0,79366;8010,23662;1,28480;0,00094;100,12796;0,09427;0,03233;0,11752;-0,01184
13,33200;0,79971;8054,65490;1,28469;0,00094;100,68319;0,09440;0,03238;0,11974;-0,01207
13,43200;0,80550;8099,91717;1,28472;0,00096;101,24896;0,09588;0,03289;0,11948;-0,01204
13,53200;0,81182;8148,71460;1,28451;0,00098;101,85893;0,09776;0,03353;0,11907;-0,01200
13,63200;0,81766;8192,49362;1,28453;0,00096;102,40617;0,09572;0,03283;0,11905;-0,01200
13,73200;0,82371;8243,38228;1,28467;0,00099;103,04228;0,09851;0,03379;0,11601;-0,01169
13,83200;0,82966;8288,77151;1,28435;0,00098;103,60964;0,09824;0,03370;0,11917;-0,01201
13,93200;0,83555;8337,02087;1,28389;0,00100;104,21276;0,10000;0,03430;0,12157;-0,01225
14,03200;0,84177;8384,52995;1,28412;0,00099;104,80662;0,09904;0,03397;0,12450;-0,01255
14,13200;0,84761;8429,17711;1,28372;0,00099;105,36471;0,09873;0,03386;0,12785;-0,01289
14,23200;0,85382;8480,34650;1,28462;0,00097;106,00433;0,09741;0,03341;0,13049;-0,01315
14,33200;0,85966;8525,87432;1,28448;0,00103;106,57343;0,10286;0,03528;0,11441;-0,01153
14,43200;0,86555;8575,62661;1,28423;0,00103;107,19533;0,10340;0,03547;0,08502;-0,00857
14,53200;0,87171;8623,12496;1,28483;0,00099;107,78906;0,09883;0,03390;0,09000;-0,00907
14,63200;0,87755;8668,22720;1,28470;0,00102;108,35284;0,10209;0,03502;0,08826;-0,00890
14,73200;0,88377;8719,27947;1,28507;0,00103;108,99099;0,10275;0,03524;0,06153;-0,00620
14,83200;0,88966;8765,24627;1,28492;0,00105;109,56558;0,10462;0,03588;0,06197;-0,00625
14,93200;0,89566;8816,73574;1,28502;0,00105;110,20920;0,10520;0,03608;0,06096;-0,00614
15,03200;0,90166;8863,22290;1,28492;0,00108;110,79029;0,10832;0,03715;0,06254;-0,00630
15,13200;0,90750;8910,67296;1,28501;0,00110;111,38341;0,11047;0,03789;0,05513;-0,00556
15,23200;0,91377;8960,07121;1,28498;0,00111;112,00089;0,11138;0,03820;0,06636;-0,00669
15,33200;0,91961;9006,18643;1,28477;0,00114;112,57733;0,11398;0,03910;0,05850;-0,00590
15,43200;0,92571;9058,68173;1,28479;0,00112;113,23352;0,11227;0,03851;0,06786;-0,00684
15,53200;0,93166;9105,39240;1,28492;0,00115;113,81740;0,11484;0,03939;0,06099;-0,00615
15,63200;0,93750;9154,76739;1,28514;0,00115;114,43459;0,11502;0,03945;0,05953;-0,00600
15,73200;0,94377;9205,10888;1,28509;0,00117;115,06386;0,11746;0,04029;0,06330;-0,00638
15,83200;0,94961;9253,96532;1,28532;0,00120;115,67457;0,12001;0,04116;0,06868;-0,00692
15,93200;0,95577;9310,89342;1,28531;0,00119;116,38617;0,11947;0,04098;0,07401;-0,00746
16,03200;0,96171;9361,84555;1,28508;0,00120;117,02307;0,12013;0,04120;0,07898;-0,00796
16,13200;0,96755;9417,76425;1,28535;0,00120;117,72205;0,12039;0,04129;0,07051;-0,00711
16,23200;0,97371;9470,78615;1,28523;0,00121;118,38483;0,12068;0,04139;0,06616;-0,00667
16,33200;0,97955;9522,00472;1,28513;0,00122;119,02506;0,12222;0,04192;0,07912;-0,00797
16,43200;0,98577;9578,38207;1,28527;0,00121;119,72978;0,12142;0,04165;0,08593;-0,00866
16,53200;0,99161;9629,69899;1,28536;0,00122;120,37124;0,12242;0,04199;0,09119;-0,00919
16,63200;0,99761;9686,66196;1,28519;0,00124;121,08327;0,12432;0,04264;0,10219;-0,01030
16,73200;1,00366;9739,22700;1,28557;0,00124;121,74034;0,12449;0,04270;0,10351;-0,01043
16,83200;1,00950;9792,94270;1,28559;0,00131;122,41178;0,13130;0,04503;0,09766;-0,00984
16,93200;1,01587;9849,06614;1,28576;0,00130;123,11333;0,12951;0,04442;0,10099;-0,01018
17,03200;1,02166;9899,41210;1,28560;0,00131;123,74265;0,13118;0,04499;0,08779;-0,00885
17,13200;1,02771;9957,36033;1,28561;0,00134;124,46700;0,13398;0,04595;0,09556;-0,00963
17,23200;1,03366;10009,27269;1,28548;0,00135;125,11591;0,13483;0,04625;0,09842;-0,00992
17,33200;1,03950;10064,02463;1,28568;0,00138;125,80031;0,13754;0,04717;0,09354;-0,00943
17,43200;1,04571;10118,06220;1,28554;0,00141;126,47578;0,14121;0,04844;0,09289;-0,00936
17,53200;1,05161;10170,24547;1,28574;0,00140;127,12807;0,14014;0,04807;0,09992;-0,01007
17,63200;1,05782;10228,20264;1,28546;0,00142;127,85253;0,14231;0,04881;0,09992;-0,01007
17,73200;1,06366;10279,43552;1,28513;0,00143;128,49294;0,14293;0,04902;0,09245;-0,00932
17,83200;1,06955;10336,13026;1,28543;0,00143;129,20163;0,14296;0,04903;0,09458;-0,00953
17,93200;1,07571;10389,85223;1,28569;0,00145;129,87315;0,14487;0,04969;0,08927;-0,00900
18,03200;1,08150;10441,84506;1,28582;0,00146;130,52306;0,14557;0,04993;0,09381;-0,00945
18,13200;1,08782;10499,73249;1,28562;0,00147;131,24666;0,14652;0,05025;0,09450;-0,00952
18,23200;1,09366;10550,85897;1,28562;0,00148;131,88574;0,14758;0,05062;0,09995;-0,01007
18,33200;1,09961;10609,18272;1,28564;0,00147;132,61478;0,14700;0,05042;0,08429;-0,00850
18,43200;1,10571;10662,61858;1,28566;0,00151;133,28273;0,15055;0,05164;0,09217;-0,00929
18,53200;1,11155;10716,63737;1,28547;0,00154;133,95797;0,15388;0,05278;0,10597;-0,01068
18,63200;1,11777;10772,49169;1,28551;0,00153;134,65615;0,15301;0,05248;0,08444;-0,00851
18,73200;1,12361;10825,03885;1,28603;0,00155;135,31299;0,15465;0,05304;0,09555;-0,00963
18,83200;1,12971;10883,10778;1,28628;0,00155;136,03885;0,15537;0,05329;0,09365;-0,00944
18,93200;1,13566;10936,49536;1,28622;0,00157;136,70619;0,15658;0,05371;0,10473;-0,01056
19,03200;1,14150;10993,04616;1,28643;0,00156;137,41308;0,15561;0,05337;0,10441;-0,01052
19,13200;1,14777;11048,07436;1,28644;0,00156;138,10093;0,15598;0,05350;0,10965;-0,01105
19,23200;1,15355;11100,56520;1,28640;0,00157;138,75706;0,15698;0,05384;0,11030;-0,01112
19,33200;1,15982;11160,37130;1,28648;0,00160;139,50464;0,16005;0,05490;0,11643;-0,01173
19,43200;1,16571;11212,71461;1,28638;0,00160;140,15893;0,16014;0,05493;0,11276;-0,01136
19,53200;1,17155;11270,59311;1,28641;0,00160;140,88241;0,15969;0,05477;0,11731;-0,01182
