Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
6,14800;0,36873;5174,44611;0,09268;0,00127;64,76153;0,12664;0,03640;0,00492;-0,00051
6,24800;0,37489;5239,73644;0,09261;0,00132;65,57868;0,13169;0,03785;-0,00300;0,00031
6,34800;0,38079;5303,06071;0,09271;0,00129;66,37122;0,12942;0,03720;0,00007;-0,00001
6,44800;0,38700;5371,20000;0,09289;0,00133;67,22403;0,13316;0,03827;0,00098;-0,00010
6,54800;0,39284;5433,31414;0,09265;0,00136;68,00143;0,13638;0,03920;-0,00255;0,00027
6,64800;0,39879;5501,58799;0,09309;0,00139;68,85592;0,13889;0,03992;-0,00576;0,00060
6,74800;0,40484;5564,46478;0,09294;0,00142;69,64286;0,14220;0,04087;-0,00714;0,00075
6,84800;0,41068;5628,51906;0,09287;0,00143;70,44454;0,14287;0,04106;-0,00957;0,00100
6,94800;0,41700;5695,07718;0,09299;0,00145;71,27756;0,14530;0,04176;-0,00824;0,00086
7,04800;0,42284;5756,91864;0,09251;0,00149;72,05155;0,14892;0,04280;-0,00623;0,00065
7,14800;0,42884;5825,47635;0,09266;0,00149;72,90959;0,14855;0,04269;-0,01050;0,00110
7,24800;0,43484;5886,12020;0,09268;0,00150;73,66859;0,15018;0,04316;-0,00493;0,00052
7,34800;0,44068;5949,68274;0,09285;0,00151;74,46411;0,15052;0,04326;-0,01236;0,00129
7,44800;0,44695;6013,93014;0,09291;0,00148;75,26821;0,14757;0,04241;-0,01930;0,00202
7,54800;0,45279;6073,77693;0,09296;0,00146;76,01723;0,14568;0,04187;-0,00773;0,00081
7,64800;0,45895;6141,41062;0,09254;0,00148;76,86371;0,14758;0,04241;-0,04534;0,00474
7,74800;0,46484;6201,32670;0,09302;0,00146;77,61360;0,14611;0,04199;-0,05256;0,00550
7,84800;0,47073;6266,77796;0,09301;0,00150;78,43277;0,15025;0,04318;-0,04845;0,00507
7,94800;0,47689;6328,16032;0,09280;0,00151;79,20101;0,15132;0,04349;-0,04754;0,00497
8,04800;0,48273;6387,61550;0,09295;0,00154;79,94513;0,15430;0,04435;-0,04760;0,00498
8,14800;0,48900;6453,19104;0,09297;0,00155;80,76585;0,15512;0,04458;-0,04515;0,00472
8,24800;0,49479;6511,14464;0,09270;0,00158;81,49117;0,15767;0,04531;-0,04951;0,00518
8,34800;0,50084;6576,62675;0,09242;0,00162;82,31072;0,16246;0,04669;-0,04432;0,00463
8,44800;0,50689;6636,21381;0,09294;0,00158;83,05649;0,15843;0,04553;-0,03720;0,00389
8,54800;0,51268;6696,15895;0,09281;0,00161;83,80675;0,16148;0,04641;-0,03615;0,00378
8,64800;0,51900;6759,29546;0,09271;0,00164;84,59694;0,16440;0,04725;-0,04114;0,00430
8,74800;0,52479;6816,87400;0,09292;0,00165;85,31757;0,16539;0,04753;-0,04201;0,00439
8,84800;0,53089;6881,37710;0,09300;0,00164;86,12487;0,16426;0,04721;-0,03922;0,00410
8,94800;0,53684;6939,17960;0,09272;0,00168;86,84831;0,16760;0,04817;-0,04635;0,00485
9,04800;0,54268;7000,43231;0,09313;0,00167;87,61492;0,16736;0,04810;-0,03643;0,00381
